contamination,n_jobs,n_neighbors,novelty,mean_f1,std_f1,mean_auc
0.25,-1,60,True,0.30812476214188694,0.010426950089354294,0.46466645333333334
0.25,-1,5,True,0.3074721784216461,0.009702101086654752,0.4369123466666667
0.25,-1,10,True,0.29756461193539946,0.005930473334617944,0.44744357333333334
0.25,-1,40,True,0.29074237772950656,0.005061065746030716,0.4572049866666666
0.25,-1,20,True,0.2837567798308281,0.0017348306680887615,0.43485493333333336
0.2,-1,10,True,0.25743860015976455,0.005047087757059969,0.44744357333333334
0.2,-1,60,True,0.2552427495571752,0.014866388861121637,0.46466645333333334
0.2,-1,5,True,0.2549180056881991,0.007302372234638908,0.4369123466666667
0.2,-1,40,True,0.2446667595980414,0.007651300166929177,0.4572049866666666
0.2,-1,20,True,0.23948549549785791,0.0021156136708450706,0.43485493333333336
0.15,-1,60,True,0.21355307355623235,0.011455168524317254,0.46466645333333334
0.15,-1,10,True,0.21316777118327335,0.0013456408467909648,0.44744357333333334
0.15,-1,5,True,0.20070047195978957,0.012165588841038535,0.4369123466666667
0.15,-1,40,True,0.19734118949059617,0.012111800955295769,0.4572049866666666
0.15,-1,20,True,0.18429929541636528,0.005268384534176457,0.43485493333333336
0.1,-1,60,True,0.1484011992504084,0.009398903278014384,0.46466757333333336
0.1,-1,10,True,0.14218629292032756,0.006552026153468734,0.44744384000000004
0.1,-1,5,True,0.13880037220630534,0.01152486198958765,0.43691224
0.1,-1,40,True,0.13813749768784445,0.017691823232580478,0.45720434666666665
0.1,-1,20,True,0.1201420165085345,0.004294229857997225,0.43485488000000005
